Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
03/03/2012,AQS,60850005,1,0.9,ppm,10,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/04/2012,AQS,60850005,1,0.9,ppm,10,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/05/2012,AQS,60850005,1,0.9,ppm,10,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/06/2012,AQS,60850005,1,0.2,ppm,2,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/07/2012,AQS,60850005,1,0.4,ppm,5,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/08/2012,AQS,60850005,1,0.7,ppm,8,San Jose - Jackson,10,42.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/09/2012,AQS,60850005,1,0.7,ppm,8,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/10/2012,AQS,60850005,1,0.4,ppm,5,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/11/2012,AQS,60850005,1,0.2,ppm,2,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/12/2012,AQS,60850005,1,0.5,ppm,6,San Jose - Jackson,23,96.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/13/2012,AQS,60850005,1,0.3,ppm,3,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/14/2012,AQS,60850005,1,0.3,ppm,3,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/15/2012,AQS,60850005,1,0.3,ppm,3,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/16/2012,AQS,60850005,1,0.3,ppm,3,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/17/2012,AQS,60850005,1,0.4,ppm,5,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/18/2012,AQS,60850005,1,0.2,ppm,2,San Jose - Jackson,24,100.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
03/19/2012,AQS,60850005,1,0.7,ppm,8,San Jose - Jackson,23,96.0,42101,Carbon monoxide,41940,"San Jose-Sunnyvale-Santa Clara, CA",6,California,85,Santa Clara,37.348497,-121.894898
