,Samplingpoint,Pollutant,Start,Value,Unit
1936,IT/SPO-IT0466A_00005_500,5,2003-05-22,20.0,ug.m-3
1937,IT/SPO-IT0466A_00005_500,5,2003-05-23,38.0,ug.m-3
1938,IT/SPO-IT0466A_00005_500,5,2003-05-24,30.0,ug.m-3
1939,IT/SPO-IT0466A_00005_500,5,2003-05-25,26.0,ug.m-3
1940,IT/SPO-IT0466A_00005_500,5,2003-05-26,37.0,ug.m-3
1941,IT/SPO-IT0466A_00005_500,5,2003-05-27,45.0,ug.m-3
1942,IT/SPO-IT0466A_00005_500,5,2003-05-28,39.0,ug.m-3
1943,IT/SPO-IT0466A_00005_500,5,2003-05-29,43.0,ug.m-3
1944,IT/SPO-IT0466A_00005_500,5,2003-05-30,31.0,ug.m-3
1945,IT/SPO-IT0466A_00005_500,5,2003-05-31,44.0,ug.m-3
1946,IT/SPO-IT0466A_00005_500,5,2003-06-01,33.0,ug.m-3
1947,IT/SPO-IT0466A_00005_500,5,2003-06-02,35.0,ug.m-3
1948,IT/SPO-IT0466A_00005_500,5,2003-06-03,35.0,ug.m-3
1949,IT/SPO-IT0466A_00005_500,5,2003-06-04,51.0,ug.m-3
1950,IT/SPO-IT0466A_00005_500,5,2003-06-05,48.0,ug.m-3
1951,IT/SPO-IT0466A_00005_500,5,2003-06-06,40.0,ug.m-3
1952,IT/SPO-IT0466A_00005_500,5,2003-06-07,40.0,ug.m-3
1953,IT/SPO-IT0466A_00005_500,5,2003-06-08,32.0,ug.m-3
1954,IT/SPO-IT0466A_00005_500,5,2003-06-09,34.0,ug.m-3
1955,IT/SPO-IT0466A_00005_500,5,2003-06-10,39.0,ug.m-3
1956,IT/SPO-IT0466A_00005_500,5,2003-06-11,48.0,ug.m-3
1957,IT/SPO-IT0466A_00005_500,5,2003-06-12,59.0,ug.m-3
1958,IT/SPO-IT0466A_00005_500,5,2003-06-13,64.0,ug.m-3
1959,IT/SPO-IT0466A_00005_500,5,2003-06-14,48.0,ug.m-3
1960,IT/SPO-IT0466A_00005_500,5,2003-06-15,27.0,ug.m-3
1961,IT/SPO-IT0466A_00005_500,5,2003-06-16,48.0,ug.m-3
1962,IT/SPO-IT0466A_00005_500,5,2003-06-17,28.0,ug.m-3
1963,IT/SPO-IT0466A_00005_500,5,2003-06-18,40.0,ug.m-3
1964,IT/SPO-IT0466A_00005_500,5,2003-06-19,31.0,ug.m-3
1965,IT/SPO-IT0466A_00005_500,5,2003-06-20,43.0,ug.m-3
1966,IT/SPO-IT0466A_00005_500,5,2003-06-21,48.0,ug.m-3
1967,IT/SPO-IT0466A_00005_500,5,2003-06-22,28.0,ug.m-3
1968,IT/SPO-IT0466A_00005_500,5,2003-06-23,42.0,ug.m-3
1969,IT/SPO-IT0466A_00005_500,5,2003-06-24,37.0,ug.m-3
1970,IT/SPO-IT0466A_00005_500,5,2003-06-25,46.0,ug.m-3
1971,IT/SPO-IT0466A_00005_500,5,2003-06-26,48.0,ug.m-3
1972,IT/SPO-IT0466A_00005_500,5,2003-06-27,31.0,ug.m-3
1973,IT/SPO-IT0466A_00005_500,5,2003-06-28,29.0,ug.m-3
1974,IT/SPO-IT0466A_00005_500,5,2003-06-29,19.0,ug.m-3
1975,IT/SPO-IT0466A_00005_500,5,2003-06-30,37.0,ug.m-3
1976,IT/SPO-IT0466A_00005_500,5,2003-07-01,42.0,ug.m-3
1977,IT/SPO-IT0466A_00005_500,5,2003-07-02,26.0,ug.m-3
1978,IT/SPO-IT0466A_00005_500,5,2003-07-03,36.0,ug.m-3
1979,IT/SPO-IT0466A_00005_500,5,2003-07-04,20.0,ug.m-3
1980,IT/SPO-IT0466A_00005_500,5,2003-07-05,20.0,ug.m-3
1981,IT/SPO-IT0466A_00005_500,5,2003-07-06,25.0,ug.m-3
1982,IT/SPO-IT0466A_00005_500,5,2003-07-07,30.0,ug.m-3
1983,IT/SPO-IT0466A_00005_500,5,2003-07-08,42.0,ug.m-3
1984,IT/SPO-IT0466A_00005_500,5,2003-07-09,53.0,ug.m-3
1985,IT/SPO-IT0466A_00005_500,5,2003-07-10,43.0,ug.m-3
1986,IT/SPO-IT0466A_00005_500,5,2003-07-11,50.0,ug.m-3
1987,IT/SPO-IT0466A_00005_500,5,2003-07-12,40.0,ug.m-3
1988,IT/SPO-IT0466A_00005_500,5,2003-07-13,35.0,ug.m-3
1989,IT/SPO-IT0466A_00005_500,5,2003-07-14,38.0,ug.m-3
1990,IT/SPO-IT0466A_00005_500,5,2003-07-15,40.0,ug.m-3
1991,IT/SPO-IT0466A_00005_500,5,2003-07-16,46.0,ug.m-3
1992,IT/SPO-IT0466A_00005_500,5,2003-07-17,54.0,ug.m-3
1993,IT/SPO-IT0466A_00005_500,5,2003-07-18,40.0,ug.m-3
1994,IT/SPO-IT0466A_00005_500,5,2003-07-19,31.0,ug.m-3
1995,IT/SPO-IT0466A_00005_500,5,2003-07-20,30.0,ug.m-3
1996,IT/SPO-IT0466A_00005_500,5,2003-07-21,40.0,ug.m-3
1997,IT/SPO-IT0466A_00005_500,5,2003-07-22,36.0,ug.m-3
1998,IT/SPO-IT0466A_00005_500,5,2003-07-23,49.0,ug.m-3
1999,IT/SPO-IT0466A_00005_500,5,2003-07-24,29.0,ug.m-3
2000,IT/SPO-IT0466A_00005_500,5,2003-07-25,29.0,ug.m-3
2001,IT/SPO-IT0466A_00005_500,5,2003-07-26,37.0,ug.m-3
2002,IT/SPO-IT0466A_00005_500,5,2003-07-27,37.0,ug.m-3
2003,IT/SPO-IT0466A_00005_500,5,2003-07-28,26.0,ug.m-3
2004,IT/SPO-IT0466A_00005_500,5,2003-07-29,34.0,ug.m-3
2005,IT/SPO-IT0466A_00005_500,5,2003-07-30,28.0,ug.m-3
2006,IT/SPO-IT0466A_00005_500,5,2003-07-31,25.0,ug.m-3
2007,IT/SPO-IT0466A_00005_500,5,2003-08-01,31.0,ug.m-3
2008,IT/SPO-IT0466A_00005_500,5,2003-08-02,31.0,ug.m-3
2009,IT/SPO-IT0466A_00005_500,5,2003-08-03,33.0,ug.m-3
2010,IT/SPO-IT0466A_00005_500,5,2003-08-04,37.0,ug.m-3
2011,IT/SPO-IT0466A_00005_500,5,2003-08-05,71.0,ug.m-3
2012,IT/SPO-IT0466A_00005_500,5,2003-08-06,46.0,ug.m-3
2013,IT/SPO-IT0466A_00005_500,5,2003-08-07,54.0,ug.m-3
2014,IT/SPO-IT0466A_00005_500,5,2003-08-08,49.0,ug.m-3
